metric,value,threshold,dataset,name,depth,sample,index,recon_steps,recon_min,recon_max,recon_wavelength,recon_resolution,dilation,resolver,min_size,iters
roc,0.01800225028128516,0.004250700913448494,Low Concentration,60k,,,,,,,,,,,,
roc,0.0182522815351919,0.004250700913448494,Low Concentration,60k,,,,,,,,,,,,
roc,0.0182522815351919,0.004341141358415484,Low Concentration,60k,,,,,,,,,,,,
roc,0.018627328416052007,0.004341141358415484,Low Concentration,60k,,,,,,,,,,,,
roc,0.018627328416052007,0.004431581803382473,Low Concentration,60k,,,,,,,,,,,,
roc,0.019002375296912115,0.004431581803382473,Low Concentration,60k,,,,,,,,,,,,
roc,0.019002375296912115,0.004522022248349462,Low Concentration,60k,,,,,,,,,,,,
roc,0.019252406550818852,0.004522022248349462,Low Concentration,60k,,,,,,,,,,,,
roc,0.019252406550818852,0.004702903138283441,Low Concentration,60k,,,,,,,,,,,,
roc,0.01962745343167896,0.004702903138283441,Low Concentration,60k,,,,,,,,,,,,
roc,0.01962745343167896,0.00479334358325043,Low Concentration,60k,,,,,,,,,,,,
roc,0.020127515939492437,0.00479334358325043,Low Concentration,60k,,,,,,,,,,,,
roc,0.020127515939492437,0.004883784028217419,Low Concentration,60k,,,,,,,,,,,,
roc,0.022002750343792975,0.004883784028217419,Low Concentration,60k,,,,,,,,,,,,
roc,0.022002750343792975,0.004974224473184408,Low Concentration,60k,,,,,,,,,,,,
roc,0.023377922240280034,0.004974224473184408,Low Concentration,60k,,,,,,,,,,,,
roc,0.023377922240280034,0.005064664918151397,Low Concentration,60k,,,,,,,,,,,,
roc,0.02437804725590699,0.005064664918151397,Low Concentration,60k,,,,,,,,,,,,
roc,0.02437804725590699,0.005245545808085375,Low Concentration,60k,,,,,,,,,,,,
roc,0.024878109763720464,0.005245545808085375,Low Concentration,60k,,,,,,,,,,,,
roc,0.024878109763720464,0.005426426698019354,Low Concentration,60k,,,,,,,,,,,,
roc,0.026003250406300787,0.005426426698019354,Low Concentration,60k,,,,,,,,,,,,
roc,0.026003250406300787,0.005516867142986343,Low Concentration,60k,,,,,,,,,,,,
roc,0.026378297287160894,0.005516867142986343,Low Concentration,60k,,,,,,,,,,,,
roc,0.026378297287160894,0.005788188477887311,Low Concentration,60k,,,,,,,,,,,,
roc,0.027753469183647957,0.005788188477887311,Low Concentration,60k,,,,,,,,,,,,
roc,0.027753469183647957,0.0058786289228543,Low Concentration,60k,,,,,,,,,,,,
roc,0.02875359419927491,0.0058786289228543,Low Concentration,60k,,,,,,,,,,,,
roc,0.02875359419927491,0.0059690693678212895,Low Concentration,60k,,,,,,,,,,,,
roc,0.029128641080135017,0.0059690693678212895,Low Concentration,60k,,,,,,,,,,,,
roc,0.029128641080135017,0.006059509812788279,Low Concentration,60k,,,,,,,,,,,,
roc,0.030003750468808602,0.006059509812788279,Low Concentration,60k,,,,,,,,,,,,
roc,0.030003750468808602,0.006149950257755268,Low Concentration,60k,,,,,,,,,,,,
roc,0.03012876609576197,0.006149950257755268,Low Concentration,60k,,,,,,,,,,,,
roc,0.03012876609576197,0.006240390702722257,Low Concentration,60k,,,,,,,,,,,,
roc,0.030878859857482184,0.006240390702722257,Low Concentration,60k,,,,,,,,,,,,
